City_name,Popul,Cri_index,tot_cri_index,Mur_mans,For_rape,Robbery,Agg_assault,Burglary,Lar_theft,Moto_theft,Arson
Oakdale,15166,967,974,1,19,14,117,253,514,49,7
Oakland,371234,31073,31402,60,305,2190,3199,5094,15437,4788,329
Oceanside,154599,5229,5262,7,94,185,656,1060,2733,494,33
Ontario,149344,7712,7821,9,44,285,668,1172,4204,1330,109
Orange,125634,3628,3677,1,14,101,359,517,2156,480,49
Orinda,19622,260,260,1,1,6,6,52,185,9,0
Oroville,12283,947,947,0,0,30,11,235,561,110,0
Oxnard,156887,5907,5921,4,37,357,452,1029,3461,567,14
Pacifica,41273,647,652,0,6,9,120,101,369,42,5
Pacific Grove,16092,323,323,0,0,2,45,89,170,17,0
Palmdale,101624,3867,3906,6,40,192,716,873,1565,475,39
Palm Desert,29844,1920,1921,0,10,17,123,667,964,139,1
Palm Springs,44586,3048,3071,7,29,71,512,724,1404,301,23
Palo Alto,59964,2083,2094,0,6,39,49,233,1660,96,11
Palos Verdes Estates,14056,134,135,0,1,1,9,37,75,11,1
Paradise,26159,878,883,1,8,7,85,214,532,31,5
Paramount,51880,2525,2554,11,19,142,264,497,1074,518,29
Parlier,10410,465,483,1,1,18,87,64,227,67,18
Pasadena,136559,4985,5090,2,30,350,444,795,2913,451,105
Paso Robles,20959,701,705,1,6,10,73,117,450,44,4
Patterson,10016,361,363,3,0,7,79,42,200,30,2
Perris,33110,1703,1711,2,27,86,216,559,573,240,8
Petaluma,51659,1561,1577,0,12,19,94,207,1161,68,16
Pico Rivera,61572,1638,1660,9,14,100,314,246,626,329,22
Piedmont,11174,179,180,1,0,6,2,45,97,28,1
Pinole,19622,1163,1197,0,9,68,52,163,744,127,34
Pittsburg,53569,2311,2313,2,13,107,149,357,1313,370,2
Placentia,47844,932,942,2,2,23,108,200,493,104,10
Pleasant Hill,33799,1249,1257,0,7,33,65,216,836,92,8
Pleasanton,64977,1595,1599,0,6,14,24,155,1295,101,4
Pomona,137646,6610,6638,26,48,381,991,1169,2837,1158,28
Porterville,36124,1703,1705,4,12,25,136,330,977,219,2
Port Hueneme,20961,578,579,0,9,32,29,137,336,35,1
Poway,49829,923,933,1,7,16,79,206,534,80,10
Rancho Cucamonga,121806,3824,3858,7,27,92,142,825,2311,420,34
Rancho Mirage,11525,443,444,1,4,3,24,161,234,16,1
Rancho Palos Verdes,43280,433,436,1,1,11,45,124,201,50,3
Red Bluff,13392,803,813,0,8,10,161,153,445,26,10
Redding,79086,3382,3430,3,60,76,230,750,1964,299,48
Redlands,68295,2350,2373,1,16,52,261,345,1243,432,23
Redondo Beach,63999,2038,2042,1,13,70,82,314,1299,259,4
Redwood City,74514,2404,2418,4,12,56,181,258,1740,153,14
Reedley,19144,823,836,0,3,21,124,159,459,57,13
Rialto,85163,3410,3433,5,31,221,331,705,1544,573,23
Richmond,94839,7119,7185,31,47,411,736,1240,3704,950,66
Ridgecrest,30470,647,654,1,16,12,107,113,357,41,7
Riverbank,14620,565,569,0,6,6,41,125,337,50,4
Riverside,265980,11665,11884,30,77,628,1329,2250,5733,1618,219
Rocklin,31334,649,649,0,5,5,24,149,412,54,0
Rohnert Park,41596,1610,1621,1,15,21,53,396,1044,80,11
Rosemead,53965,1511,1518,8,6,135,226,347,496,293,7
Roseville,72658,2696,2708,0,6,44,209,513,1601,323,12
Sacramento,410089,27110,27540,54,143,1450,1437,4805,14761,4460,430
Salinas,123237,6298,6329,12,60,346,737,729,3764,650,31
San Anselmo,11694,319,320,0,2,1,33,87,186,10,1
San Bernardino,189133,11909,12024,23,81,709,1207,2570,5524,1795,115
San Bruno,41306,1018,1024,1,6,27,28,131,714,111,6
San Carlos,28501,582,582,0,2,8,52,149,338,33,0
San Clemente,47176,822,828,0,7,17,52,179,510,57,6
San Diego           ,1238549,49587,49817,57,355,1812,5187,6568,26117,9491,230
San Dimas,34722,733,743,0,4,24,101,162,385,57,10
San Fernando,23386,807,815,1,3,69,47,103,431,153,8
San Francisco,756700,43322,43597,64,193,3475,2823,5526,25264,5977,275
San Gabriel,38520,922,935,1,4,81,116,185,416,119,13
Sanger,18401,762,769,0,7,20,117,97,417,104,7
San Jacinto,24686,488,491,1,6,14,98,212,76,81,3
San Jose,875840,25784,26133,25,347,726,3990,2685,15151,2860,349
San Juan Capistrano,31452,569,573,4,5,18,49,86,357,50,4
San Leandro,75477,4294,4313,3,17,201,290,502,2649,632,19
San Luis Obispo,43557,1928,2025,2,16,17,80,376,1322,115,97
San Marcos,50310,1589,1598,0,12,46,131,386,797,217,9
San Marino,13156,113,113,0,1,7,0,41,57,7,0
San Mateo,92619,2581,2602,0,19,73,186,284,1799,220,21
San Pablo,27347,2201,2215,2,6,154,164,388,1110,377,14
San Rafael,51805,1767,1775,0,10,48,275,293,1003,138,8
San Ramon,43071,887,893,1,4,9,45,152,611,65,6
Santa Ana,310437,11167,11414,15,97,865,851,1226,5826,2287,247
Santa Barbara,87914,2919,2927,2,24,74,423,473,1775,148,8
Santa Clara,101840,3068,3104,2,8,44,208,372,2145,289,36
Santa Clarita,128862,2673,2716,2,19,79,388,508,1435,242,43
Santa Cruz,53627,2614,2647,1,19,79,283,358,1734,140,33
Santa Fe Springs,15720,1363,1370,3,3,74,66,225,772,220,7
Santa Maria,69119,2538,2573,1,24,74,217,386,1656,180,35
Santa Monica,90834,4883,4957,1,29,279,319,560,3120,575,74
Santa Paula,27117,864,874,1,9,42,111,295,330,76,10
Santa Rosa,128750,5410,5441,5,73,152,292,720,3840,328,31
Santee,58586,1344,1350,1,12,22,119,259,759,172,6
Saratoga,30321,369,372,0,3,2,12,84,247,21,3
Scotts Valley,10223,332,338,0,1,2,25,69,227,8,6
Seal Beach,26545,584,589,0,5,20,56,145,318,40,5
Seaside,28672,1017,1026,4,8,48,163,163,544,87,9
Selma,17658,1424,1433,0,6,34,112,259,811,202,9
Shafter,11317,467,507,1,3,3,51,129,247,33,40
Sierra Madre,11121,133,133,0,0,1,6,45,76,5,0
Simi Valley,112081,1647,1699,0,11,24,81,383,987,161,52
Solana Beach,13897,296,297,0,0,19,16,72,145,44,1
Soledad,15635,230,230,1,2,11,31,69,106,10,0
South El Monte,21596,609,616,2,9,61,107,108,211,111,7
South Gate,89679,2903,2917,7,24,363,270,516,904,819,14
South Lake Tahoe,23864,902,907,0,7,26,66,212,535,56,5
South Pasadena,24450,594,604,0,5,28,27,108,355,71,10
South San Francisco,59691,1596,1604,1,16,62,63,235,1012,207,8
Stanton,33522,1001,1022,5,10,58,66,183,522,157,21
Stockton,243661,16546,16681,32,130,904,1742,2476,9122,2140,135
